GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Reverse Proxy Authenticator,net.trajano.sonar.plugins.reverseproxyauth,ValidateRedirectionFilter,0,35,0,4,0,12,0,7,0,5
Reverse Proxy Authenticator,net.trajano.sonar.plugins.reverseproxyauth,ReverseProxyAuthPlugin,0,19,0,0,0,3,0,2,0,2
Reverse Proxy Authenticator,net.trajano.sonar.plugins.reverseproxyauth,ReverseProxyAuthSettings,0,92,0,8,0,15,0,13,0,9
Reverse Proxy Authenticator,net.trajano.sonar.plugins.reverseproxyauth,ReverseProxyAuthUsersProvider,0,34,0,4,0,11,0,4,0,2
Reverse Proxy Authenticator,net.trajano.sonar.plugins.reverseproxyauth,ReverseProxyAuthRealm,0,19,0,0,0,7,0,4,0,4
Reverse Proxy Authenticator,net.trajano.sonar.plugins.reverseproxyauth,ReverseProxyAuthUsersIdentityProvider,0,86,0,4,0,24,0,9,0,7
